ï»¿Time,Time Code,Country Name,Country Code,GDP per unit of energy use (PPP $ per kg of oil equivalent) [EG.GDP.PUSE.KO.PP],GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent) [EG.GDP.PUSE.KO.PP.KD],"Energy imports, net (% of energy use) [EG.IMP.CONS.ZS]",Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS],"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP) [EG.USE.COMM.GD.PP.KD]",Combustible renewables and waste (% of total energy) [EG.USE.CRNW.ZS],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],Pump price for diesel fuel (US$ per liter) [EP.PMP.DESL.CD],Pump price for gasoline (US$ per liter) [EP.PMP.SGAS.CD],Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Fuel exports (% of merchandise exports) [TX.VAL.FUEL.ZS.UN],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS]
2006,YR2006,Dominican Republic,DOM,12.01275583,13.08938849,89.06658154,2.171891738,76.39776301,8.76152672,739.4298122,0.75,1.03,0,0.009347162,0
2006,YR2006,Ecuador,ECU,10.33291231,11.25899048,-170.7138858,5.615232317,88.81790975,6.13003066,784.9171183,0.39,0.47,0.128956864,58.57029299,23.32955944
2006,YR2006,"Egypt, Arab Rep.",EGY,9.259839983,10.08974499,-24.48032627,1.790600023,99.11053266,2.216836345,852.6532632,0.12,0.3,11.50964164,56.38622604,11.95606582
2006,YR2006,El Salvador,SLV,8.448557478,9.205752001,44.45006796,24.26587186,108.6277362,31.43944395,793.3038249,0.8,0.82,0,2.272761533,0
2006,YR2006,Equatorial Guinea,GNQ,14.59476804,15.90281128,..,..,62.88196361,..,2327.641478,..,..,..,..,..
2006,YR2006,Eritrea,ERI,8.430632062,9.186220036,26.15783055,0.024678958,108.8587032,73.81749049,161.9142095,0.81,1.9,0,..,0
2006,YR2006,Estonia,EST,5.115467277,6.528811813,26.31893955,0.152234693,153.1672269,10.28658083,3775.035083,1.22,1.23,0,15.52236939,0
2006,YR2006,Ethiopia,ETH,1.646334057,1.793885297,4.646340882,0.80726508,557.4492425,94.53717717,440.955831,0.62,0.93,0,..,0
2006,YR2006,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,..,0,1.951384381,0
2006,YR2006,Fiji,FJI,10.81197603,11.78098986,..,..,84.88251087,..,675.6185112,0.94,1.07,0,0.088135239,0
2006,YR2006,Finland,FIN,4.867475567,5.655842854,51.35999623,18.6661409,176.808307,20.84215788,7092.733602,1.26,1.55,0,5.302622472,0
2006,YR2006,France,FRA,7.699826853,8.823492925,48.85224132,45.92302973,113.333802,4.300830319,4193.2213,1.33,1.48,0.011916457,4.294184258,0.018495908
2006,YR2006,French Polynesia,PYF,..,..,..,..,..,..,..,1.19,1.49,..,0.023719968,..
2006,YR2006,Gabon,GAB,11.6614289,12.7065742,-661.3377111,4.565204569,78.69941846,59.93995074,1263.524544,0.39,0.64,0.346084003,85.61178354,49.97733389
2006,YR2006,"Gambia, The",GMB,18.1529927,19.77993868,..,..,50.55627402,..,76.62675578,1.01,1.08,0,..,0
2006,YR2006,Georgia,GEO,6.811609824,7.422094356,69.40493721,15.53957233,134.73286,12.30428908,689.2933151,0.89,0.86,0.051721618,3.326850858,0.33361009
2006,YR2006,Germany,DEU,8.259327616,9.3681141,60.00552923,13.99306287,106.7450705,5.154633535,4202.74963,1.38,1.55,0.13020605,2.519235527,0.045986313
2006,YR2006,Ghana,GHA,6.429045103,7.005242608,31.85451704,5.816145698,142.7502309,62.02096602,378.486391,0.84,0.86,0,0.654034082,0.616482433
2006,YR2006,Greece,GRC,10.31572408,11.56424364,66.69086149,2.551037425,86.47344615,3.360971036,2715.929902,1.19,1.16,0.00248918,13.0345386,0.013579936
2006,YR2006,Greenland,GRL,..,..,..,..,..,..,..,..,..,0,0.007728243,0
2006,YR2006,Grenada,GRD,13.3159735,14.5094059,..,..,68.92080951,..,784.435255,0.89,0.89,0,0,0
2006,YR2006,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
2006,YR2006,Guatemala,GTM,10.02313081,10.92144508,31.93862981,5.354648618,91.56297476,51.54509181,587.2352056,0.64,0.78,0,8.805962445,1.079210189
2006,YR2006,Guinea,GIN,..,..,..,..,..,..,..,0.82,0.79,0,0.312233396,0
2006,YR2006,Guinea-Bissau,GNB,19.25781502,20.98377973,..,..,47.65585671,..,60.21665954,..,..,0,..,0
2006,YR2006,Guyana,GUY,6.795026405,7.404024662,..,..,135.0616787,..,672.3095851,..,..,0,0.000540198,0
2006,YR2006,Haiti,HTI,3.871414959,4.218387115,19.38001494,0.664528368,237.0574281,79.9554567,372.7250999,..,..,0,..,0
2006,YR2006,Honduras,HND,6.676063319,7.274399614,50.4679101,4.457622166,137.4683896,45.07446773,569.943267,0.73,0.89,0,0.35061136,0
2006,YR2006,"Hong Kong SAR, China",HKG,19.85293643,21.63223837,99.53459798,0.000623397,46.22730126,0.496774827,2011.839553,1.06,1.69,0,1.676787496,0
2006,YR2006,Hungary,HUN,6.878888679,8.502882431,62.17671338,13.28338691,117.6071771,4.385748104,2713.257084,1.31,1.3,0.545788358,2.354777787,0.316133967
2006,YR2006,Iceland,ISL,2.684504775,2.913757705,21.64453991,78.30032454,343.1994357,0.055135553,13690.21535,1.78,1.86,0,2.331419959,0
2006,YR2006,India,IND,6.471394203,7.051387208,22.26165411,2.844746802,141.8160669,28.69155346,490.2664295,0.75,1.01,0.667806533,14.75413958,1.491388183
2006,YR2006,Indonesia,IDN,8.140578441,8.870170614,-70.80891649,6.670314495,112.7374031,28.17413456,802.6793437,0.44,0.57,3.710357363,27.24364441,5.273103241
2006,YR2006,"Iran, Islamic Rep.",IRN,5.509112968,6.002862366,-78.84289722,0.876518079,166.5871944,0.319866204,2544.220898,0.03,0.09,10.65874739,82.79351043,37.39603623
2006,YR2006,Iraq,IRQ,13.83521191,15.07518059,-375.4744533,2.438058558,66.33419704,0.122159636,775.8063351,..,..,0.526520987,99.56056321,64.90052985
2006,YR2006,Ireland,IRL,12.92287882,14.31763113,88.70222518,1.391107134,69.84395607,1.515585504,3404.141622,1.35,1.34,0.046718837,0.659905782,0
2006,YR2006,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,0,..,0
2006,YR2006,Israel,ISR,8.915605761,9.490163432,86.80919599,3.619686369,105.3722633,0.0431005,2889.302635,1.27,1.47,0.348590931,0.100118729,0.001374292
2006,YR2006,Italy,ITA,10.23702002,12.08453407,84.98368931,4.645106249,82.75039766,2.577415153,3124.746003,1.49,1.56,0.119766877,3.617373468,0.120992185
2006,YR2006,Jamaica,JAM,5.217950875,5.685605126,90.15151134,0.455139889,175.8827737,9.39334877,1573.989028,0.75,0.82,0,13.73212812,0
2006,YR2006,Japan,JPN,7.821050289,8.479689921,80.52699243,17.3831964,117.9288405,1.333055966,4064.754603,0.9,1.09,0.020615628,0.918739056,0.002743701
2006,YR2006,Jordan,JOR,7.278732968,7.931083,95.76483577,1.453951208,126.0861852,0.075193554,1237.893967,0.45,0.86,0.342106372,1.028432754,0.002778917
2006,YR2006,Kazakhstan,KAZ,3.912825759,4.263509321,-108.1546816,1.087529214,234.5485666,0.033276328,4012.785075,0.45,0.7,3.649131489,69.4349997,36.38376638
2006,YR2006,Kenya,KEN,4.621185799,5.035355506,17.05217223,6.79515135,198.5957096,76.15267642,467.173152,0.98,1.12,0,7.140533307,0
2006,YR2006,Kiribati,KIR,14.2068412,15.48011683,..,..,64.59899567,..,106.0929162,..,..,0,..,0
2006,YR2006,"Korea, Dem. Rep.",PRK,..,..,-3.311446619,5.037697791,..,4.84938522,898.7926815,0.79,0.71,..,..,..
2006,YR2006,"Korea, Rep.",KOR,5.853287619,6.050280805,79.51943235,18.30590277,165.2815848,1.13876101,4418.579253,1.33,1.65,0.01092545,6.346935591,0.001891956
2006,YR2006,Kosovo,KSV,5.588050432,6.088874531,27.59648882,0.455121066,164.2339639,10.99944566,1143.50034,1.19,1.22,0,..,0
2006,YR2006,Kuwait,KWT,8.144948502,8.874932338,-485.6535226,0,112.6769154,0,10788.96488,0.21,0.22,2.934108479,96.47016377,56.36540221
2006,YR2006,Kyrgyz Republic,KGZ,4.570748941,4.980398289,49.46950586,42.34289075,200.7871543,0.141407203,485.4189023,0.54,0.64,0.150281825,18.27755756,1.01143045
2006,YR2006,Lao PDR,LAO,..,..,..,..,..,..,..,0.73,0.86,0,..,0
2006,YR2006,Latvia,LVA,7.860594872,9.208268192,60.62378371,5.03275243,108.5980533,25.52352172,2113.710733,1.15,1.2,0,5.202442156,0
2006,YR2006,Lebanon,LBN,9.50002953,10.35146131,95.15423232,1.425236825,96.60471793,3.543235436,1182.360987,0.62,0.74,0,0.370238981,0
2006,YR2006,Lesotho,LSO,175.5769226,191.3128496,..,..,5.227040431,..,9.792073059,0.88,0.89,0,..,0
2006,YR2006,Liberia,LBR,..,..,..,..,..,..,..,0.85,0.79,0,..,0
2006,YR2006,Libya,LBY,8.411672199,9.165560911,-498.6533305,0,109.1040701,0.880396411,2967.638873,0.06,0.12,5.427515395,..,67.19192317
2006,YR2006,Liechtenstein,LIE,..,..,..,..,..,..,..,1.36,1.27,0,..,0
