"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Colombia","COL","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.150821685791","67.3248596191406","70.0144500732422","70.8954620361328","73.3425521850586","74.0862426757813","75.6345596313477","73.6129837036133","73.7843475341797","","",
"Comoros","COM","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.2971305847168","","",
"Cabo Verde","CPV","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.45643","","","","","","","22.71167","","","","","","","","56.7658996582031","57.5562896728516","57.4272689819336","61.3343887329102","62.4363288879395","64.1664886474609","","66.2789077758789","","","69.1409606933594","69.931510925293","","",
"Costa Rica","CRI","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","21.72703","","","30.88894","33.92409","33.80652","34.08904","","","37.18706","","38.46024","37.05817","","","34.11092","34.78924","35.60475","","36.2452","37.17775","37.77279","40.2105","41.05272","42.92466","42.96563","42.25172","","","","","","","","","","","","","","","73.347412109375","72.9132766723633","73.2753829956055","","",
"Caribbean small states","CSS","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","47.9510040283203","52.7946510314941","54.4738349914551","55.6333961486816","57.1059494018555","58.4291000366211","61.0299186706543","59.1317825317383","59.0667724609375","59.6802291870117","59.5498924255371","60.9329833984375","61.2285346984863","62.2591819763184","63.9233055114746","63.4343872070313","64.5833740234375","65.94677734375","66.0582580566406","65.1117935180664","66.8951263427734","68.5216522216797","70.1289749145508","71.6733932495117","72.5069274902344","73.8475570678711","73.2367553710938","73.8907318115234","74.3585510253906","74.028450012207","76.6187973022461","76.5795211791992","77.0683898925781","77.8982543945313","77.9909133911133","77.5358581542969","76.1753005981445","76.0047607421875","73.3618774414063","","","",
"Cuba","CUB","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","19.84139","21.79809","25.8281","","","","","59.29468","","","","","","","67.6088","67.13149","67.87133","69.32026","69.3897","69.35186","67.30318","","60.16201","","","","","75.3101272583008","80.1136474609375","82.0753707885742","82.3662719726563","84.6109390258789","84.0815200805664","84.64990234375","85.2272186279297","84.4975433349609","83.5706024169922","82.0829772949219","85.3597183227539","86.4371337890625","86.6584701538086","88.3148727416992","","",
"Curacao","CUW","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","51.22675","53.41565","57.92186","60.63356","58.58966","63.06022","63.54171","61.74633","61.92363","62.14433","62.03009","60.88027","60.91287","","","","","","","","","","","89.53134","89.54795","89.61305","89.00555","","87.8123397827148","88.0464019775391","88.3093414306641","91.672737121582","92.8042297363281","93.0075912475586","94.1016616821289","94.05908203125","95.0999603271484","95.8044509887695","95.5299911499023","88.8338317871094","89.6834182739258","91.831787109375","","","",
"Czech Republic","CZE","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
